case,suite,task,episode,status,max_prob,top5_mass,entropy
libero_10_task01_ep01_success,libero_10,1,1,success,0.03688925877213478,0.13210758566856384,5.1324076652526855
libero_10_task01_ep02_success,libero_10,1,2,success,0.03737655282020569,0.11812659353017807,5.185636520385742
libero_10_task03_ep06_fail,libero_10,3,6,fail,0.04895158112049103,0.12423373758792877,5.120284080505371
libero_10_task03_ep10_fail,libero_10,3,10,fail,0.048375025391578674,0.12121294438838959,5.1222243309021
libero_goal_task01_ep01_success,libero_goal,1,1,success,0.05968007817864418,0.1331723928451538,5.091861724853516
libero_goal_task01_ep02_success,libero_goal,1,2,success,0.062126580625772476,0.1344064623117447,5.123705863952637
libero_goal_task02_ep04_fail,libero_goal,2,4,fail,0.06044676899909973,0.1739179939031601,5.027947425842285
libero_goal_task04_ep04_fail,libero_goal,4,4,fail,0.046915046870708466,0.10994843393564224,5.182945251464844
libero_object_task01_ep01_success,libero_object,1,1,success,0.04074769467115402,0.1079852432012558,5.174676418304443
libero_object_task01_ep02_success,libero_object,1,2,success,0.04036642983555794,0.11345040798187256,5.154285907745361
libero_object_task03_ep02_fail,libero_object,3,2,fail,0.03215900436043739,0.10630695521831512,5.1605377197265625
libero_object_task06_ep07_fail,libero_object,6,7,fail,0.026483790948987007,0.09835999459028244,5.215259552001953
libero_spatial_task01_ep01_success,libero_spatial,1,1,success,0.030351467430591583,0.09975984692573547,5.206231594085693
libero_spatial_task01_ep02_success,libero_spatial,1,2,success,0.02959706075489521,0.09683063626289368,5.205163955688477
libero_spatial_task01_ep06_fail,libero_spatial,1,6,fail,0.03014500066637993,0.10425952076911926,5.194615840911865
libero_spatial_task02_ep05_fail,libero_spatial,2,5,fail,0.02819659374654293,0.11791041493415833,5.127668857574463
